keyword,intent,cluster,priority,target_page,page_status,volume,kd,cpc,evidence,notes
"online özel ders","commercial","core-directory","P0","/tutors","existing","unknown","unknown","unknown","live SERP + autocomplete","Broad and competitive; directory must explain verified YKS specialization"
"yks özel ders","commercial","core-directory","P0","/tutors","existing","unknown","unknown","unknown","live SERP + autocomplete","Strong business fit"
"yks online özel ders","commercial","core-directory","P0","/tutors","existing","unknown","unknown","unknown","autocomplete","Natural secondary term"
"özel ders platformu","commercial","core-directory","P0","/tutors","existing","unknown","unknown","unknown","live SERP + autocomplete","Marketplace SERP"
"online özel ders platformu","commercial","core-directory","P0","/tutors","existing","unknown","unknown","unknown","autocomplete","Marketplace intent"
"özel ders hocası bul","transactional","core-directory","P0","/tutors","existing","unknown","unknown","unknown","autocomplete","Use direct discovery CTA"
"özel ders hocası nasıl bulunur","informational","tutor-selection","P1","/rehber/ozel-ders-hocasi-nasil-secilir","proposed","unknown","unknown","unknown","autocomplete","Parent/student decision guide"
"yks matematik özel ders","commercial","tyt-ayt-mathematics","P0","/yks/matematik-ozel-ders","proposed","unknown","unknown","unknown","autocomplete","Potential hub for TYT and AYT"
"tyt matematik özel ders","commercial","tyt-mathematics","P0","/yks/tyt/matematik-ozel-ders","implemented locally","unknown","unknown","unknown","live SERP + autocomplete","Uses current verified public tutor supply"
"tyt matematik özel ders fiyatları","commercial","tyt-mathematics","P1","/yks/tyt/matematik-ozel-ders","proposed","unknown","unknown","unknown","autocomplete","Answer factors from real listed prices; avoid invented averages"
"tyt ayt matematik özel ders","commercial","tyt-ayt-mathematics","P1","/yks/matematik-ozel-ders","proposed","unknown","unknown","unknown","autocomplete","Combined-intent hub"
"ayt matematik özel ders","commercial","ayt-mathematics","P0","/yks/ayt/matematik-ozel-ders","implemented locally","unknown","unknown","unknown","autocomplete","Uses current verified public tutor supply"
"ayt matematik özel ders fiyatları","commercial","ayt-mathematics","P1","/yks/ayt/matematik-ozel-ders","proposed","unknown","unknown","unknown","autocomplete","Price-factor section"
"yks fizik özel ders","commercial","yks-physics","P1","/yks/fizik-ozel-ders","proposed","unknown","unknown","unknown","autocomplete","Validate supply and GSC first"
"tyt fizik özel ders","commercial","yks-physics","P1","/yks/tyt/fizik-ozel-ders","proposed","unknown","unknown","unknown","seed expansion","Split only if SERP/GSC supports"
"ayt fizik özel ders","commercial","yks-physics","P1","/yks/ayt/fizik-ozel-ders","proposed","unknown","unknown","unknown","seed expansion","Split only if SERP/GSC supports"
"yks kimya özel ders","commercial","yks-chemistry","P1","/yks/kimya-ozel-ders","proposed","unknown","unknown","unknown","seed expansion","Validate supply"
"yks biyoloji özel ders","commercial","yks-biology","P1","/yks/biyoloji-ozel-ders","proposed","unknown","unknown","unknown","seed expansion","Validate supply"
"yks türkçe özel ders","commercial","yks-turkish","P1","/yks/turkce-ozel-ders","proposed","unknown","unknown","unknown","autocomplete","Validate intent versus general Turkish lessons"
"online özel ders fiyatları","commercial","pricing","P1","/rehber/online-ozel-ders-ucretleri","implemented locally","unknown","unknown","unknown","autocomplete","Uses live Hocam range, median, sample size, methodology, and update date"
"özel ders ücretleri","commercial","pricing","P1","/rehber/online-ozel-ders-ucretleri","proposed","unknown","unknown","unknown","autocomplete","Broad and competitive"
"özel ders ücretleri 2026","commercial","pricing","P1","/rehber/online-ozel-ders-ucretleri","proposed","unknown","unknown","unknown","autocomplete","Must be updated annually"
"özel ders fiyatları ne kadar","commercial","pricing","P1","/rehber/online-ozel-ders-ucretleri","proposed","unknown","unknown","unknown","autocomplete","Answer by factors and live profiles"
"online özel ders nasıl alınır","informational-commercial","how-it-works","P1","/nasil-calisir","implemented locally","unknown","unknown","unknown","live SERP","Explains discovery-to-lesson steps without changing the booking flow"
"online özel ders nasıl yapılır","informational","online-lesson-guide","P2","/rehber/online-ozel-ders-nasil-yapilir","proposed","unknown","unknown","unknown","SERP pattern","Explain student setup and lesson flow"
"özel ders mi dershane mi","comparison","learning-model-comparison","P1","/rehber/ozel-ders-mi-dershane-mi","proposed","unknown","unknown","unknown","community + SERP evidence","Balanced decision guide; no universal winner"
"yks koçluk mu özel ders mi","comparison","learning-model-comparison","P1","/rehber/yks-kocluk-mu-ozel-ders-mi","proposed","unknown","unknown","unknown","live SERP","Clarify subject instruction versus planning/accountability"
"yks koçluk fiyatları","commercial","coaching","P3","do-not-target","deferred","unknown","unknown","unknown","autocomplete","Hocam is not positioned as a coaching provider"
"kunduz alternatifi","comparison","competitor-alternatives","P2","/rehber/kunduz-alternatifi","approval-required","unknown","unknown","unknown","autocomplete + SERP","Legal/brand review and honest feature comparison required"
"doping hafıza alternatifi","comparison","competitor-alternatives","P2","/rehber/doping-hafiza-alternatifi","approval-required","unknown","unknown","unknown","autocomplete + SERP","Legal/brand review and honest model comparison required"
"yks dereceli hoca özel ders","commercial","verified-ranked-tutors","P0","/tutors","existing","unknown","unknown","unknown","SERP sample","Strong differentiator despite limited autocomplete"
"üniversite öğrencisinden özel ders yks","commercial","verified-ranked-tutors","P1","/tutors","existing","unknown","unknown","unknown","SERP sample","Needs trust and verification context"
"doğrulanmış özel ders hocası","commercial","verified-ranked-tutors","P1","/hocalar-nasil-dogrulaniyor","implemented locally","unknown","unknown","unknown","positioning seed","Describes current evidence requirements without exposing private documents"
"yks hocası nasıl seçilir","informational-commercial","tutor-selection","P1","/rehber/yks-hocasi-nasil-secilir","proposed","unknown","unknown","unknown","problem-led seed","Link to live profiles"
"online özel ders güvenli mi","informational-commercial","trust-safety","P1","/guvenlik-ve-dogrulama","proposed","unknown","unknown","unknown","problem-led seed","Parent trust"
"özel ders deneme dersi","commercial","trial","P2","/rehber/ozel-ders-deneme-dersi","proposed","unknown","unknown","unknown","product-led seed","Only describe current real trial rules"
"yks matematik özel ders notları pdf","informational","copyright-risk","P3","do-not-target","excluded","unknown","unknown","unknown","autocomplete","Avoid copyrighted-file intent"
"özel ders vermek istiyorum","tutor-acquisition","become-a-tutor","P1","/hoca-ol","proposed","unknown","unknown","unknown","autocomplete","Separate supply-side funnel"
"online özel ders verme","tutor-acquisition","become-a-tutor","P1","/hoca-ol","proposed","unknown","unknown","unknown","autocomplete","Explain verification and platform rules"
"online özel ders vergi","informational","legal-tax","P3","do-not-target","excluded","unknown","unknown","unknown","autocomplete","High-stakes legal/tax advice outside current scope"
